name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
Larissa Pacheco,170.18,61.23,,1.21,0.19,4.14,0.0,0.0,0.0
Nick Pace,170.18,61.23,172.72,1.48,0.34,3.14,0.43,0.54,0.5
Raquel Pa'aluhi,170.18,61.23,,1.71,0.56,3.42,0.0,0.18,0.0
Shungo Oyama,180.34,83.91,,0.64,0.25,1.96,0.57,0.62,0.5
Craig Oxley,175.26,70.31,,0.0,0.0,0.0,0.0,0.0,0.0
Valentijn Overeem,190.5,104.33,,0.93,0.34,1.49,0.5,0.0,4.7
Alistair Overeem,193.04,120.2,203.2,3.67,0.64,2.44,0.55,0.73,0.8
Sidney Outlaw,172.72,77.11,187.96,0.13,0.33,0.8,0.75,0.0,3.0
Artur Oumakhanov,170.18,69.85,,1.2,0.33,1.67,0.75,0.33,0.0
Zak Ottow,180.34,77.11,182.88,2.63,0.36,2.73,0.29,0.57,0.4
Quemuel Ottoni,182.88,70.31,182.88,0.0,0.0,0.0,0.0,0.0,0.0
Takafumi Otsuka,167.64,63.05,,1.29,0.27,2.12,0.27,0.65,0.0
Alexander Otsuka,185.42,92.99,,0.9,0.55,1.16,0.43,0.53,0.8
Pedro Otavio,190.5,111.13,,0.0,0.0,0.0,0.0,0.0,0.0
Rachael Ostovich,160.02,56.7,157.48,2.54,0.43,3.97,0.83,0.66,0.8
Nissen Osterneck,187.96,83.91,,3.15,0.58,2.9,0.12,0.42,1.3
Nick Osipczak,187.96,77.11,193.04,2.83,0.5,3.77,0.45,0.71,1.0
Kurt Osiander,,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Ode Osbourne,170.18,56.7,185.42,3.26,0.4,4.01,0.28,0.63,0.6
Kenji Osawa,170.18,61.23,167.64,2.34,0.35,2.14,0.58,0.68,0.7
Dustin Ortiz,165.1,56.7,165.1,2.94,0.44,2.17,0.36,0.52,0.1
Jorge Ortiz,182.88,83.91,,3.53,0.58,2.8,0.0,0.0,0.0
Tito Ortiz,190.5,92.99,187.96,2.59,0.46,2.88,0.35,0.54,0.6
Brian Ortega,172.72,65.77,175.26,4.08,0.37,6.59,0.26,0.55,1.1
Sam Oropeza,187.96,77.11,,7.68,0.56,1.44,0.33,1.0,0.0
Myktybek Orolbai,177.8,70.31,187.96,3.42,0.48,3.39,0.43,0.4,0.4
