draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,180.34,,Carlo Pedersoli Jr.,190.5,,4.17,0.37,0.0,0.44,4.12,0.0,77.11,
,172.72,,Andre Pederneiras,,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,172.72,,Ross Pearson,175.26,,3.68,0.4,0.0,0.35,4.09,0.75,70.31,
,177.8,,Joe Pearson,,,0.59,0.18,4.4,0.0,3.51,0.0,65.77,
,182.88,,Jonathan Pearce,180.34,,5.12,0.54,0.8,0.5,3.32,0.55,65.77,
,175.26,,Roland Payne,,,0.0,0.0,0.0,0.0,0.0,0.0,92.99,
,162.56,,Sarah Payant,,,0.29,0.16,0.0,0.0,2.06,0.0,52.16,
,177.8,,Estevan Payan,,,4.25,0.42,0.4,1.0,3.58,0.6,65.77,
,182.88,,Pawel Pawlak,185.42,,1.67,0.33,0.0,0.37,2.22,0.7,77.11,
,190.5,,Sergei Pavlovich,213.36,,4.54,0.43,0.0,0.4,3.81,0.75,116.57,
,170.18,,Thomas Paull,170.18,,7.33,0.33,0.0,0.0,8.67,0.0,70.31,
,182.88,,Julio Paulino,,,0.97,0.27,0.5,0.0,1.87,0.37,77.11,
,187.96,,Zac Pauga,193.04,,4.46,0.62,0.0,0.07,2.73,1.0,92.99,
,190.5,,Sam Patterson,198.12,,3.17,0.41,3.2,1.0,3.6,0.33,77.11,
,177.8,,Justin Patterson,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,182.88,,Michael Patt,,,1.65,0.28,0.0,0.0,5.53,0.0,92.99,
,180.34,,Alan Patrick,187.96,,1.82,0.4,0.3,0.33,2.95,0.43,70.31,
,180.34,,Claude Patrick,190.5,,1.8,0.55,1.7,0.53,0.89,0.84,77.11,
,175.26,,Russell Patrick,,,0.0,0.0,0.0,0.0,0.0,0.0,65.77,
,172.72,,Jorge Patino,,,1.33,0.3,0.0,0.25,3.14,0.5,77.11,
,167.64,,Windri Patilima,180.34,,0.31,0.5,0.0,0.0,7.64,0.0,70.31,
,185.42,,Jhonoven Pati,190.5,,2.88,0.53,0.0,1.0,6.13,0.0,83.91,
,165.1,,Billy Pasulatan,167.64,,0.65,0.2,4.9,0.0,5.22,0.0,56.7,
,170.18,,Ramona Pascual,167.64,,3.87,0.57,0.0,0.19,8.43,1.0,61.23,
,180.34,,Onassis Parungao,,,0.0,0.0,0.0,0.0,0.0,0.0,90.72,
,175.26,,Jonny Parsons,175.26,,4.65,0.44,0.0,0.0,4.89,0.66,77.11,
,180.34,,Preston Parsons,180.34,,3.54,0.51,2.3,0.36,3.25,0.71,77.11,
,175.26,,Jordan Parsons,,,3.29,0.4,1.0,0.21,2.37,0.5,65.77,
,177.8,,Willie Parks,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,193.04,,Mick Parkin,200.66,,4.91,0.52,0.3,0.41,4.15,0.5,120.2,
,165.1,,Tyra Parker,,,1.5,0.22,0.0,0.0,9.0,0.0,52.16,
,180.34,,Larry Parker,,,0.0,0.0,0.0,0.0,0.0,0.0,92.99,
,190.5,,Ryan Parker,,,0.0,0.0,0.0,0.0,0.0,0.0,106.59,
,180.34,,Norman Parke,177.8,,3.06,0.35,0.0,0.26,2.88,0.77,70.31,
,172.72,,Jae Hyun Park,182.88,,0.8,0.63,0.0,0.0,1.0,0.22,70.31,
,170.18,,HyunSung Park,167.64,,4.15,0.44,2.6,0.27,3.43,1.0,56.7,
,182.88,,Harvey Park,177.8,,3.77,0.5,0.0,0.0,7.21,0.0,70.31,
,177.8,,JunYong Park,185.42,,4.77,0.51,0.9,0.47,3.42,0.57,83.91,
,180.34,,Won Sik Park,,,2.6,0.43,0.0,0.0,2.2,0.0,69.85,
,177.8,,Karo Parisyan,182.88,,2.49,0.41,1.0,0.59,2.19,0.59,77.11,
,193.04,,Josh Parisian,200.66,,4.55,0.48,0.2,0.33,4.88,0.46,120.2,
,172.72,,Ido Pariente,,,0.0,0.0,0.0,0.0,2.86,0.0,70.31,
,190.5,,Remco Pardoel,,,0.0,0.0,0.0,0.0,0.0,0.0,117.93,
,185.42,,Bryan Pardoe,,,1.11,0.36,0.0,0.4,4.59,0.33,92.99,
,185.42,,Joe Pardo,,,0.0,0.0,0.0,0.0,0.0,0.0,95.25,
,160.02,,Kathryn Paprocki,160.02,,1.0,0.23,0.0,0.0,4.27,0.0,52.16,
,172.72,,Jared Papazian,170.18,,3.33,0.39,0.0,0.0,3.81,0.5,61.23,
,165.1,,Alexandre Pantoja,170.18,,4.41,0.5,0.9,0.47,3.92,0.68,56.7,
,185.42,,Yuri Panferov,182.88,,2.33,0.52,0.0,0.0,0.91,0.36,83.91,
,165.1,,Ruel Panales,170.18,,2.53,0.51,0.0,0.2,5.6,0.5,56.7,
,180.34,,Eduardo Pamplona,,,0.0,0.0,0.0,0.0,0.0,0.0,77.11,
,162.56,,Stephen Palling,,,0.0,0.0,0.0,0.0,0.0,0.0,64.86,
,,,Tulio Palhares,,,0.0,0.0,0.0,0.0,0.0,0.0,81.65,
,172.72,,Rousimar Palhares,180.34,,1.75,0.51,4.1,0.45,2.04,0.0,77.11,
,193.04,,Soa Palelei,205.74,,2.47,0.57,0.0,0.47,2.68,0.66,120.2,
,185.42,,Sasha Palatnikov,182.88,,6.69,0.53,0.0,1.0,5.44,0.7,77.11,
,175.26,,Bart Palaszewski,177.8,,2.67,0.32,0.5,0.31,3.97,0.53,65.77,
,167.64,,Ricky Palacios,,,7.73,0.53,0.0,0.0,3.27,1.0,65.77,
,175.26,,Jose Palacios,,,2.67,0.7,1.7,0.0,1.0,0.5,65.77,
,177.8,,Luis Pajuelo,175.26,,6.03,0.57,0.0,0.0,8.2,0.66,65.77,
,167.64,,Fredson Paixao,167.64,,1.71,0.54,2.2,0.11,2.31,0.1,65.77,
,175.26,,Dinis Paiva Jr.,180.34,,2.6,0.41,0.0,0.0,2.73,0.81,65.77,
,172.72,,Raulian Paiva,175.26,,4.14,0.42,0.2,0.23,5.01,0.77,61.23,
,167.64,,Josh Paiva,,,0.0,0.0,0.0,0.0,0.0,0.0,56.7,
