name,height_cm,weight_kg,reach_cm,strikes_per_min,striking_accuracy,takedown_avg,takedown_accuracy,takedown_defense,submission_avg
John Alessio,177.8,70.31,182.88,2.1,0.39,2.91,0.38,0.7,1.2
Jim Alers,175.26,65.77,180.34,2.9,0.4,4.38,0.41,0.8,0.3
Talita Alencar,154.94,52.16,147.32,2.49,0.28,4.8,0.13,0.5,0.0
Irina Alekseeva,172.72,61.23,170.18,3.84,0.43,3.55,0.2,1.0,0.9
JJ Aldrich,165.1,56.7,170.18,3.96,0.47,4.32,0.26,0.67,0.0
Jose Aldo,170.18,61.23,177.8,3.62,0.46,3.72,0.53,0.92,0.1
Jose Alday,170.18,61.23,172.72,3.13,0.44,3.13,0.0,0.57,0.0
Hector Aldana,180.34,77.11,182.88,3.59,0.38,5.08,1.0,0.0,0.0
Irene Aldana,175.26,61.23,172.72,5.19,0.39,6.64,0.5,0.77,0.2
Gilbert Aldana,185.42,113.4,,2.91,0.54,6.26,0.4,0.33,0.0
Alfonso Alcarez,160.02,65.77,,0.0,0.0,0.0,0.0,0.0,0.0
Ildemar Alcantara,187.96,83.91,198.12,1.93,0.38,2.63,0.68,0.81,0.9
Iuri Alcantara,175.26,61.23,180.34,2.72,0.45,2.79,0.62,0.6,0.8
Juan Alcain,,,,0.0,0.0,0.0,0.0,0.0,0.0
Israel Albuquerque,,83.91,,0.32,0.13,3.34,0.0,0.0,0.0
Aleksandra Albu,157.48,52.16,160.02,4.83,0.47,5.56,0.5,0.77,0.4
Wes Albritton,177.8,85.28,,0.0,0.0,0.0,0.0,0.0,0.0
Junior Albini,190.5,119.75,187.96,3.98,0.51,6.08,0.37,1.0,0.0
John Albert,172.72,61.23,172.72,3.05,0.49,2.82,0.0,0.5,6.1
Brett Albee,,102.06,,0.0,0.0,0.0,0.0,0.0,0.0
Amir Albazi,165.1,56.7,172.72,2.72,0.34,3.71,0.32,0.5,0.5
Alatengheili,165.1,61.23,167.64,2.64,0.32,4.67,0.45,0.75,0.0
Javi Alanis,167.64,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Herdem Alacabek,187.96,92.99,190.5,3.84,0.65,6.66,0.5,0.42,0.0
Mostapha Al-Turk,187.96,111.13,195.58,1.36,0.19,3.61,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,4.14,0.34,3.6,0.3,0.2,0.0
Razak Al-Hassan,187.96,92.99,,3.27,0.39,3.14,0.14,0.57,0.0
Rostem Akman,177.8,77.11,182.88,1.8,0.25,3.97,0.4,0.87,0.0
Yoshihiro Akiyama,177.8,77.11,190.5,3.1,0.41,3.62,0.67,0.92,1.0
Omari Akhmedov,182.88,83.91,185.42,2.97,0.34,2.84,0.45,0.65,0.2
Hitomi Akano,162.56,61.23,,0.59,0.45,2.58,0.0,0.08,0.5
Ashiek Ajim,172.72,61.23,180.34,5.0,0.4,11.25,0.0,0.0,0.0
Mike Aina,175.26,70.31,,2.87,0.33,6.33,0.0,0.71,0.0
Nick Aguirre,175.26,61.23,187.96,0.73,0.33,2.89,0.2,0.33,0.6
Christian Aguilera,175.26,77.11,182.88,2.54,0.37,4.04,0.0,0.6,0.0
Jesus Aguilar,162.56,56.7,157.48,1.73,0.45,1.1,0.35,0.4,1.8
Kevin Aguilar,170.18,70.31,185.42,3.96,0.4,4.81,0.16,0.78,0.0
Jessica Aguilar,160.02,52.16,160.02,4.93,0.5,7.19,0.25,0.5,0.2
Edwin Aguilar,177.8,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,182.88,83.91,,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Aguiar,177.8,77.11,,0.0,0.0,0.0,0.0,0.0,0.0
Kantharaj Agasa,,61.23,,0.0,0.0,0.0,0.0,0.0,0.0
Mariya Agapova,167.64,56.7,172.72,4.43,0.54,3.62,0.66,0.45,0.8
Nick Agallar,172.72,70.31,,0.69,0.11,4.56,0.0,0.0,0.0
Mohamed Ado,180.34,77.11,193.04,1.66,0.83,0.33,0.5,0.5,5.0
Sam Adkins,190.5,102.06,,0.0,0.0,0.0,0.0,0.0,0.0
Hamdy Abdelwahab,187.96,119.75,182.88,3.4,0.51,3.87,0.8,1.0,0.0
David Abbott,182.88,120.2,,1.35,0.3,3.55,0.33,0.66,0.0
Nariman Abbasov,172.72,70.31,167.64,3.0,0.2,5.67,0.0,0.66,0.0
Danny Abbadi,180.34,70.31,,3.29,0.38,4.41,0.0,0.77,0.0
